"name","version","authors","licenses","license_links","approved","summary","description","homepage","install_path","package_manager","groups"
espree,3.5.0,"",Simplified BSD,http://opensource.org/licenses/bsd-license,Not approved,"","",https://github.com/eslint/espree,,Yarn,""
esprima,2.7.3,"",Simplified BSD,http://opensource.org/licenses/bsd-license,Not approved,"","",http://esprima.org/,,Yarn,""
esprima,4.0.0,"",Simplified BSD,http://opensource.org/licenses/bsd-license,Not approved,"","",http://esprima.org/,,Yarn,""
esquery,1.0.0,"",New BSD,http://opensource.org/licenses/BSD-3-Clause,Not approved,"","",Unknown,,Yarn,""
esrecurse,4.2.0,"",Simplified BSD,http://opensource.org/licenses/bsd-license,Not approved,"","",https://github.com/estools/esrecurse,,Yarn,""
estraverse,4.2.0,"",Simplified BSD,http://opensource.org/licenses/bsd-license,Not approved,"","",https://github.com/estools/estraverse,,Yarn,""
esutils,2.0.2,"",Simplified BSD,http://opensource.org/licenses/bsd-license,Not approved,"","",https://github.com/estools/esutils,,Yarn,""
etag,1.8.1,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",Unknown,,Yarn,""
event-emitter,0.3.5,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",http://www.medikoo.com/,,Yarn,""
events,1.1.1,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",http://jeditoolkit.com,,Yarn,""
evp_bytestokey,1.0.3,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/crypto-browserify/EVP_BytesToKey,,Yarn,""
execa,0.7.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",sindresorhus.com,,Yarn,""
expand-brackets,0.1.5,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/jonschlinkert/expand-brackets,,Yarn,""
expand-range,1.8.2,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/jonschlinkert/expand-range,,Yarn,""
express,4.15.5,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",http://expressjs.com/,,Yarn,""
extend,3.0.1,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",http://www.justmoon.net,,Yarn,""
external-editor,2.0.4,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/mrkmg/node-external-editor#readme,,Yarn,""
extglob,0.3.2,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/jonschlinkert/extglob,,Yarn,""
extract-text-webpack-plugin,3.0.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",http://github.com/webpack-contrib/extract-text-webpack-plugin,,Yarn,""
extract-zip,1.6.5,"",Simplified BSD,http://opensource.org/licenses/bsd-license,Not approved,"","",Unknown,,Yarn,""
extsprintf,1.3.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",Unknown,,Yarn,""
eyes,0.1.8,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",Unknown,,Yarn,""
fast-deep-equal,1.0.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/epoberezkin/fast-deep-equal#readme,,Yarn,""
fast-levenshtein,2.0.6,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",http://www.hiddentao.com/,,Yarn,""
fastparse,1.1.1,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/webpack/fastparse,,Yarn,""
fd-slicer,1.0.1,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",Unknown,,Yarn,""
figures,2.0.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",sindresorhus.com,,Yarn,""
file-entry-cache,2.0.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",http://royriojas.com,,Yarn,""
file-loader,0.11.2,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/webpack/file-loader,,Yarn,""
filename-regex,2.0.1,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/regexhq/filename-regex,,Yarn,""
filesize,3.5.10,"",New BSD,http://opensource.org/licenses/BSD-3-Clause,Not approved,"","",https://filesizejs.com/,,Yarn,""
fill-range,2.2.3,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/jonschlinkert/fill-range,,Yarn,""
finalhandler,1.0.6,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",Unknown,,Yarn,""
find-cache-dir,0.1.1,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",github.com/jamestalmage,,Yarn,""
find-cache-dir,1.0.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",github.com/jamestalmage,,Yarn,""
find-up,1.1.2,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",sindresorhus.com,,Yarn,""
